"Year_Quarter","Group","Rate","Significant","Type","Indicator","Unit","IndicatorGroup"
"2014 Q1","15-19 years",25.9,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q2","15-19 years",25.2,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q3","15-19 years",24.7,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q4","15-19 years",24.2,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q1","15-19 years",23.8,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q2","15-19 years",23.4,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q3","15-19 years",22.8,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q4","15-19 years",22.3,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2016 Q1","15-19 years",21.8,"*","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q1","20-24 years",80.4,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q2","20-24 years",79.8,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q3","20-24 years",79.5,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q4","20-24 years",79,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q1","20-24 years",78.8,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q2","20-24 years",78.3,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q3","20-24 years",77.6,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q4","20-24 years",76.9,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2016 Q1","20-24 years",76.3,"*","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q1","25-29 years",105.6,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q2","25-29 years",105.6,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q3","25-29 years",105.9,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q4","25-29 years",105.8,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q1","25-29 years",105.8,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q2","25-29 years",105.4,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q3","25-29 years",104.9,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q4","25-29 years",104.3,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2016 Q1","25-29 years",103.8,"*","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q1","30-34 years",98.8,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q2","30-34 years",99.4,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q3","30-34 years",100.4,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2014 Q4","30-34 years",100.8,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q1","30-34 years",101.1,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q2","30-34 years",101.1,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
"2015 Q3","30-34 years",101.3,"","12 Month-ending","Birth Rates","rate per 1,000 population","Age-specific Birth Rates"
