break_out_category,break_out,data_value,data_value_type,data_value_unit,datasource,high_confidence_limit,locationabbr,locationdesc,low_confidence_limit,indicator,sample_size,year
Gender,Female,12,Percentage,%,HRQOL,13.7,AL,Alabama,10.5,Diabetes,4868,2010
Gender,Male,8.5,Percentage,%,HRQOL,10.3,AL,Alabama,6.9,Diabetes,2281,2010
Gender,Female,7.7,Percentage,%,HRQOL,10.7,AK,Alaska,5.4,Diabetes,941,2010
Gender,Male,4.6,Percentage,%,HRQOL,7.2,AK,Alaska,2.7,Diabetes,717,2010
Gender,Female,10.6,Percentage,%,HRQOL,12.7,AZ,Arizona,8.8,Diabetes,3451,2010
Gender,Male,7.1,Percentage,%,HRQOL,9.1,AZ,Arizona,5.4,Diabetes,2047,2010
Gender,Female,10,Percentage,%,HRQOL,12.2,AR,Arkansas,8,Diabetes,2288,2010
Gender,Male,8.5,Percentage,%,HRQOL,11.1,AR,Arkansas,6.3,Diabetes,1420,2010
Gender,Female,8.2,Percentage,%,HRQOL,9.2,CA,California,7.3,Diabetes,10266,2010
Gender,Male,6.6,Percentage,%,HRQOL,7.7,CA,California,5.6,Diabetes,6656,2010
Gender,Female,5.8,Percentage,%,HRQOL,7,CO,Colorado,4.8,Diabetes,5855,2010
Gender,Male,5.6,Percentage,%,HRQOL,6.9,CO,Colorado,4.4,Diabetes,4014,2010
Gender,Female,5.6,Percentage,%,HRQOL,6.9,CT,Connecticut,4.4,Diabetes,3970,2010
Gender,Male,3.5,Percentage,%,HRQOL,4.9,CT,Connecticut,2.4,Diabetes,2425,2010
Gender,Female,8,Percentage,%,HRQOL,9.9,DE,Delaware,6.3,Diabetes,2609,2010
Gender,Male,6.2,Percentage,%,HRQOL,8.4,DE,Delaware,4.5,Diabetes,1473,2010
Gender,Female,7.9,Percentage,%,HRQOL,9.7,DC,District of Columbia,6.4,Diabetes,2227,2010
Gender,Male,6,Percentage,%,HRQOL,8,DC,District of Columbia,4.3,Diabetes,1499,2010
Gender,Female,8.9,Percentage,%,HRQOL,10.1,FL,Florida,7.8,Diabetes,20352,2010
Gender,Male,8.8,Percentage,%,HRQOL,10.3,FL,Florida,7.4,Diabetes,12081,2010
Gender,Female,8.7,Percentage,%,HRQOL,10.4,GA,Georgia,7.2,Diabetes,3478,2010
Gender,Male,5.5,Percentage,%,HRQOL,7.2,GA,Georgia,4.1,Diabetes,1921,2010
Gender,Female,4.9,Percentage,%,HRQOL,6.2,HI,Hawaii,3.8,Diabetes,3724,2010
Gender,Male,5.2,Percentage,%,HRQOL,6.7,HI,Hawaii,3.9,Diabetes,2579,2010
Gender,Female,8.2,Percentage,%,HRQOL,9.6,ID,Idaho,7,Diabetes,3984,2010
Gender,Male,6.8,Percentage,%,HRQOL,8.5,ID,Idaho,5.4,Diabetes,2592,2010
Gender,Female,6.8,Percentage,%,HRQOL,8.3,IL,Illinois,5.4,Diabetes,3088,2010
Gender,Male,6,Percentage,%,HRQOL,8.1,IL,Illinois,4.3,Diabetes,1847,2010
Gender,Female,7.9,Percentage,%,HRQOL,9.1,IN,Indiana,6.8,Diabetes,5962,2010
Gender,Male,7.2,Percentage,%,HRQOL,8.7,IN,Indiana,5.9,Diabetes,3537,2010
Gender,Female,5.6,Percentage,%,HRQOL,6.9,IA,Iowa,4.5,Diabetes,3586,2010
Gender,Male,4.2,Percentage,%,HRQOL,5.5,IA,Iowa,3.2,Diabetes,2235,2010
Gender,Female,5.9,Percentage,%,HRQOL,7,KS,Kansas,4.8,Diabetes,5015,2010
Gender,Male,4.3,Percentage,%,HRQOL,5.5,KS,Kansas,3.3,Diabetes,3240,2010
Gender,Female,10.7,Percentage,%,HRQOL,12.2,KY,Kentucky,9.2,Diabetes,5208,2010
Gender,Male,9.3,Percentage,%,HRQOL,11.2,KY,Kentucky,7.7,Diabetes,2447,2010
Gender,Female,9.2,Percentage,%,HRQOL,10.6,LA,Louisiana,8,Diabetes,4464,2010
Gender,Male,9.6,Percentage,%,HRQOL,11.7,LA,Louisiana,7.7,Diabetes,2087,2010
Gender,Female,8.3,Percentage,%,HRQOL,9.6,ME,Maine,7.1,Diabetes,4683,2010
Gender,Male,7.7,Percentage,%,HRQOL,9.5,ME,Maine,6.1,Diabetes,2988,2010
Gender,Female,6.6,Percentage,%,HRQOL,7.8,MD,Maryland,5.4,Diabetes,5308,2010
Gender,Male,4.6,Percentage,%,HRQOL,5.9,MD,Maryland,3.5,Diabetes,3223,2010
Gender,Female,6.5,Percentage,%,HRQOL,7.5,MA,Massachusetts,5.5,Diabetes,9430,2010
Gender,Male,6.2,Percentage,%,HRQOL,7.5,MA,Massachusetts,5,Diabetes,5740,2010
Gender,Female,8,Percentage,%,HRQOL,9.4,MI,Michigan,6.7,Diabetes,5192,2010
Gender,Male,6.7,Percentage,%,HRQOL,8.3,MI,Michigan,5.3,Diabetes,3234,2010
Gender,Female,5.2,Percentage,%,HRQOL,6.6,MN,Minnesota,3.9,Diabetes,5172,2010
Gender,Male,3.8,Percentage,%,HRQOL,5.1,MN,Minnesota,2.7,Diabetes,3296,2010
Gender,Female,10.3,Percentage,%,HRQOL,11.7,MS,Mississippi,9,Diabetes,5131,2010
Gender,Male,9.4,Percentage,%,HRQOL,11.4,MS,Mississippi,7.7,Diabetes,2494,2010
Gender,Female,8.8,Percentage,%,HRQOL,11,MO,Missouri,7,Diabetes,3219,2010
Gender,Male,7.7,Percentage,%,HRQOL,9.7,MO,Missouri,6,Diabetes,1955,2010
Gender,Female,7.6,Percentage,%,HRQOL,9.2,MT,Montana,6.1,Diabetes,4088,2010
Gender,Male,6.8,Percentage,%,HRQOL,8.6,MT,Montana,5.3,Diabetes,2898,2010
Gender,Female,8.1,Percentage,%,HRQOL,8.6,US,Nationwide,7.6,Diabetes,258044,2010
Gender,Male,6.7,Percentage,%,HRQOL,7.3,US,Nationwide,6.2,Diabetes,157620,2010
Gender,Female,6.2,Percentage,%,HRQOL,8.1,NE,Nebraska,4.6,Diabetes,9537,2010
Gender,Male,4.7,Percentage,%,HRQOL,6.1,NE,Nebraska,3.5,Diabetes,6113,2010
Gender,Female,9.7,Percentage,%,HRQOL,12.2,NV,Nevada,7.6,Diabetes,2201,2010
Gender,Male,5.4,Percentage,%,HRQOL,7.7,NV,Nevada,3.6,Diabetes,1544,2010
Gender,Female,6.6,Percentage,%,HRQOL,7.9,NH,New Hampshire,5.4,Diabetes,3558,2010
Gender,Male,4.7,Percentage,%,HRQOL,6.2,NH,New Hampshire,3.5,Diabetes,2226,2010
Gender,Female,6.8,Percentage,%,HRQOL,7.9,NJ,New Jersey,5.7,Diabetes,7041,2010
Gender,Male,6,Percentage,%,HRQOL,7.4,NJ,New Jersey,4.8,Diabetes,4394,2010
